# of items,f_ME,f_TH_R,f_TH_X
1,0.621,1,1
2,0.448,0.607,0.8
3,0.371,0.456,0.703
4,0.325,0.373,0.641
5,0.294,0.32,0.597
6,0.271,0.283,0.564
7,0.253,0.255,0.537
8,0.239,0.234,0.515
9,0.227,0.217,0.496
10,0.217,0.202,0.48
